Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,37172386
"Population, total",SP.POP.TOTL,Albania,ALB,2866376
"Population, total",SP.POP.TOTL,Algeria,DZA,42228429
"Population, total",SP.POP.TOTL,American Samoa,ASM,55465
"Population, total",SP.POP.TOTL,Andorra,AND,77006
"Population, total",SP.POP.TOTL,Angola,AGO,30809762
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,96286
"Population, total",SP.POP.TOTL,Argentina,ARG,44494502
"Population, total",SP.POP.TOTL,Armenia,ARM,2951776
"Population, total",SP.POP.TOTL,Aruba,ABW,105845
"Population, total",SP.POP.TOTL,Australia,AUS,24982688
"Population, total",SP.POP.TOTL,Austria,AUT,8840521
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9939800
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,385640
"Population, total",SP.POP.TOTL,Bahrain,BHR,1569439
"Population, total",SP.POP.TOTL,Bangladesh,BGD,161356039
"Population, total",SP.POP.TOTL,Barbados,BRB,286641
"Population, total",SP.POP.TOTL,Belarus,BLR,9483499
"Population, total",SP.POP.TOTL,Belgium,BEL,11433256
"Population, total",SP.POP.TOTL,Belize,BLZ,383071
"Population, total",SP.POP.TOTL,Benin,BEN,11485048
"Population, total",SP.POP.TOTL,Bermuda,BMU,63973
"Population, total",SP.POP.TOTL,Bhutan,BTN,754394
"Population, total",SP.POP.TOTL,Bolivia,BOL,11353142
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3323929
"Population, total",SP.POP.TOTL,Botswana,BWA,2254126
"Population, total",SP.POP.TOTL,Brazil,BRA,209469333
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29802
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,428962
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7025037
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,19751535
"Population, total",SP.POP.TOTL,Burundi,BDI,11175378
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,543767
"Population, total",SP.POP.TOTL,Cambodia,KHM,16249798
"Population, total",SP.POP.TOTL,Cameroon,CMR,25216237
"Population, total",SP.POP.TOTL,Canada,CAN,37057765
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,64174
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4666377
"Population, total",SP.POP.TOTL,Chad,TCD,15477751
"Population, total",SP.POP.TOTL,Channel Islands,CHI,170499
"Population, total",SP.POP.TOTL,Chile,CHL,18729160
"Population, total",SP.POP.TOTL,China,CHN,1392730000
"Population, total",SP.POP.TOTL,Colombia,COL,49648685
"Population, total",SP.POP.TOTL,Comoros,COM,832322
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,84068091
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5244363
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4999441
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25069229
"Population, total",SP.POP.TOTL,Croatia,HRV,4087843
"Population, total",SP.POP.TOTL,Cuba,CUB,11338138
"Population, total",SP.POP.TOTL,Curacao,CUW,159800
"Population, total",SP.POP.TOTL,Cyprus,CYP,1189265
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10629928
"Population, total",SP.POP.TOTL,Denmark,DNK,5793636
"Population, total",SP.POP.TOTL,Djibouti,DJI,958920
"Population, total",SP.POP.TOTL,Dominica,DMA,71625
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10627165
"Population, total",SP.POP.TOTL,Ecuador,ECU,17084357
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,98423595
"Population, total",SP.POP.TOTL,El Salvador,SLV,6420744
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1308974
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1321977
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1136191
"Population, total",SP.POP.TOTL,Ethiopia,ETH,109224559
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48497
"Population, total",SP.POP.TOTL,Fiji,FJI,883483
"Population, total",SP.POP.TOTL,Finland,FIN,5515525
"Population, total",SP.POP.TOTL,France,FRA,66977107
"Population, total",SP.POP.TOTL,French Polynesia,PYF,277679
"Population, total",SP.POP.TOTL,Gabon,GAB,2119275
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2280102
"Population, total",SP.POP.TOTL,Georgia,GEO,3726549
"Population, total",SP.POP.TOTL,Germany,DEU,82905782
"Population, total",SP.POP.TOTL,Ghana,GHA,29767108
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33718
"Population, total",SP.POP.TOTL,Greece,GRC,10731726
"Population, total",SP.POP.TOTL,Greenland,GRL,56025
"Population, total",SP.POP.TOTL,Grenada,GRD,111454
"Population, total",SP.POP.TOTL,Guam,GUM,165768
"Population, total",SP.POP.TOTL,Guatemala,GTM,17247807
"Population, total",SP.POP.TOTL,Guinea,GIN,12414318
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1874309
"Population, total",SP.POP.TOTL,Guyana,GUY,779004
"Population, total",SP.POP.TOTL,Haiti,HTI,11123176
"Population, total",SP.POP.TOTL,Honduras,HND,9587522
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7451000
"Population, total",SP.POP.TOTL,Hungary,HUN,9775564
"Population, total",SP.POP.TOTL,Iceland,ISL,352721
"Population, total",SP.POP.TOTL,India,IND,1352617328
"Population, total",SP.POP.TOTL,Indonesia,IDN,267663435
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,81800269
"Population, total",SP.POP.TOTL,Iraq,IRQ,38433600
"Population, total",SP.POP.TOTL,Ireland,IRL,4867309
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84077
"Population, total",SP.POP.TOTL,Israel,ISR,8882800
"Population, total",SP.POP.TOTL,Italy,ITA,60421760
"Population, total",SP.POP.TOTL,Jamaica,JAM,2934855
"Population, total",SP.POP.TOTL,Japan,JPN,126529100
"Population, total",SP.POP.TOTL,Jordan,JOR,9956011
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18272430
"Population, total",SP.POP.TOTL,Kenya,KEN,51393010
"Population, total",SP.POP.TOTL,Kiribati,KIR,115847
"Population, total",SP.POP.TOTL,"Korea, Dem. People’s Rep.",PRK,25549819
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51606633
"Population, total",SP.POP.TOTL,Kosovo,XKX,1845300
"Population, total",SP.POP.TOTL,Kuwait,KWT,4137309
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6322800
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7061507
"Population, total",SP.POP.TOTL,Latvia,LVA,1927174
"Population, total",SP.POP.TOTL,Lebanon,LBN,6848925
"Population, total",SP.POP.TOTL,Lesotho,LSO,2108132
"Population, total",SP.POP.TOTL,Liberia,LBR,4818977
"Population, total",SP.POP.TOTL,Libya,LBY,6678567
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37910
"Population, total",SP.POP.TOTL,Lithuania,LTU,2801543
"Population, total",SP.POP.TOTL,Luxembourg,LUX,607950
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,631636
"Population, total",SP.POP.TOTL,Madagascar,MDG,26262368
"Population, total",SP.POP.TOTL,Malawi,MWI,18143315
"Population, total",SP.POP.TOTL,Malaysia,MYS,31528585
"Population, total",SP.POP.TOTL,Maldives,MDV,515696
"Population, total",SP.POP.TOTL,Mali,MLI,19077690
"Population, total",SP.POP.TOTL,Malta,MLT,484630
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,58413
"Population, total",SP.POP.TOTL,Mauritania,MRT,4403319
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265303
"Population, total",SP.POP.TOTL,Mexico,MEX,126190788
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,112640
"Population, total",SP.POP.TOTL,Moldova,MDA,2706049
"Population, total",SP.POP.TOTL,Monaco,MCO,38682
"Population, total",SP.POP.TOTL,Mongolia,MNG,3170208
"Population, total",SP.POP.TOTL,Montenegro,MNE,622227
"Population, total",SP.POP.TOTL,Morocco,MAR,36029138
"Population, total",SP.POP.TOTL,Mozambique,MOZ,29495962
"Population, total",SP.POP.TOTL,Myanmar,MMR,53708395
"Population, total",SP.POP.TOTL,Namibia,NAM,2448255
"Population, total",SP.POP.TOTL,Nauru,NRU,12704
"Population, total",SP.POP.TOTL,Nepal,NPL,28087871
"Population, total",SP.POP.TOTL,Netherlands,NLD,17231624
"Population, total",SP.POP.TOTL,New Caledonia,NCL,284060
"Population, total",SP.POP.TOTL,New Zealand,NZL,4841000
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6465513
"Population, total",SP.POP.TOTL,Niger,NER,22442948
"Population, total",SP.POP.TOTL,Nigeria,NGA,195874740
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2082958
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,56882
"Population, total",SP.POP.TOTL,Norway,NOR,5311916
"Population, total",SP.POP.TOTL,Oman,OMN,4829483
"Population, total",SP.POP.TOTL,Pakistan,PAK,212215030
"Population, total",SP.POP.TOTL,Palau,PLW,17907
"Population, total",SP.POP.TOTL,Panama,PAN,4176873
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8606316
"Population, total",SP.POP.TOTL,Paraguay,PRY,6956071
"Population, total",SP.POP.TOTL,Peru,PER,31989256
"Population, total",SP.POP.TOTL,Philippines,PHL,106651922
"Population, total",SP.POP.TOTL,Poland,POL,37974750
"Population, total",SP.POP.TOTL,Portugal,PRT,10283822
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3195153
"Population, total",SP.POP.TOTL,Qatar,QAT,2781677
"Population, total",SP.POP.TOTL,Romania,ROU,19466145
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144478050
"Population, total",SP.POP.TOTL,Rwanda,RWA,12301939
"Population, total",SP.POP.TOTL,Samoa,WSM,196130
"Population, total",SP.POP.TOTL,San Marino,SMR,33785
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,211028
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,33699947
"Population, total",SP.POP.TOTL,Senegal,SEN,15854360
"Population, total",SP.POP.TOTL,Serbia,SRB,6982604
"Population, total",SP.POP.TOTL,Seychelles,SYC,96762
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7650154
"Population, total",SP.POP.TOTL,Singapore,SGP,5638676
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40654
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5446771
"Population, total",SP.POP.TOTL,Slovenia,SVN,2073894
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,652858
"Population, total",SP.POP.TOTL,Somalia,SOM,15008154
"Population, total",SP.POP.TOTL,South Africa,ZAF,57779622
"Population, total",SP.POP.TOTL,South Sudan,SSD,10975920
"Population, total",SP.POP.TOTL,Spain,ESP,46796540
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21670000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,52441
"Population, total",SP.POP.TOTL,St. Lucia,LCA,181889
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,37264
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,110210
"Population, total",SP.POP.TOTL,Sudan,SDN,41801533
"Population, total",SP.POP.TOTL,Suriname,SUR,575991
"Population, total",SP.POP.TOTL,Sweden,SWE,10175214
"Population, total",SP.POP.TOTL,Switzerland,CHE,8513227
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,16906283
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9100837
"Population, total",SP.POP.TOTL,Tanzania,TZA,56318348
"Population, total",SP.POP.TOTL,Thailand,THA,69428524
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1267972
"Population, total",SP.POP.TOTL,Togo,TGO,7889094
"Population, total",SP.POP.TOTL,Tonga,TON,103197
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1389858
"Population, total",SP.POP.TOTL,Tunisia,TUN,11565204
"Population, total",SP.POP.TOTL,Turkey,TUR,82319724
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5850908
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,37665
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11508
"Population, total",SP.POP.TOTL,Uganda,UGA,42723139
"Population, total",SP.POP.TOTL,Ukraine,UKR,44622516
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9630959
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66460344
"Population, total",SP.POP.TOTL,United States,USA,326687501
"Population, total",SP.POP.TOTL,Uruguay,URY,3449299
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,32955400
"Population, total",SP.POP.TOTL,Vanuatu,VUT,292680
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28870195
"Population, total",SP.POP.TOTL,Vietnam,VNM,95540395
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106977
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4569087
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,28498687
"Population, total",SP.POP.TOTL,Zambia,ZMB,17351822
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14439018
"Population, total",SP.POP.TOTL,Arab World,ARB,419790588
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7358965
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,102530626
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3249139605
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2328138066
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2081651801
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2056064424
"Population, total",SP.POP.TOTL,Euro area,EMU,341858176
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,917973802
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,416944914
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,459007507
"Population, total",SP.POP.TOTL,European Union,EUU,446786293
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,743958386
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,780234406
"Population, total",SP.POP.TOTL,High income,HIC,1209780930
"Population, total",SP.POP.TOTL,IBRD only,IBD,4772259249
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6411664536
"Population, total",SP.POP.TOTL,IDA blend,IDB,554990771
"Population, total",SP.POP.TOTL,IDA only,IDX,1084414516
"Population, total",SP.POP.TOTL,IDA total,IDA,1639405287
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2287825323
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,641357466
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,609013934
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,625569713
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,1009662578
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6383105866
"Population, total",SP.POP.TOTL,Low income,LIC,705417321
"Population, total",SP.POP.TOTL,Lower middle income,LMC,3022072335
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,448912959
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,382896715
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,378327628
"Population, total",SP.POP.TOTL,Middle income,MIC,5677688545
"Population, total",SP.POP.TOTL,North America,NAC,363809239
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1302998740
"Population, total",SP.POP.TOTL,Other small states,OSS,30760211
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2457367
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1109455397
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,919485393
"Population, total",SP.POP.TOTL,Small states,SST,40576543
"Population, total",SP.POP.TOTL,South Asia,SAS,1814388744
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1814388744
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1078306520
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1078209758
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1078306520
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2655616210
"Population, total",SP.POP.TOTL,World,WLD,7592886796
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 05/19/2020,,,,
